Latitude;Longitude;Num Ligne;rang;Type;Nom_Station;trafic_2018;trafic_2019;trafic_2020;correspondance_1;correspondance_2;correspondance_3;correspondance_4;correspondance_5;ville;arrondissement_pour_paris;;annee;traffic total
48.8546821569;2.3060974037;8;128;Metro;ECOLE MILITAIRE;4638136;4468169;1863016;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;7;;;
48.814803007;2.42237614285;8;135;Metro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3520624;3193857;1808155;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Maisons -Alfort;;;;
48.8406632293;2.32638461079;6;240;Metro;EDGAR QUINET;2364420;2142333;1011168;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;14;;;
48.8471500557;2.26913587273;10;304;Metro;EGLISE D'AUTEUIL;182153;169939;95182;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;16;;;
48.89325759;2.41331313951;5;112;Metro;EGLISE DE PANTIN;4056872;3843796;2139986;5;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pantin;;;;
48.8886312178;2.24793243532;1;24;Metro;ESPLANADE DE LA DEFENSE;10255121;9883008;4488878;1;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Puteaux;;;;
48.8638074378;2.34888065259;4;203;Metro;ETIENNE MARCEL;2907953;2676549;1254829;4;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;1;;;
48.8787703685;2.32226521312;3;272;Metro;EUROPE;1694103;1618088;769896;3;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;8;;;
48.8429386959;2.26003290221;9;236;Metro;EXELMANS;2152072;2102492;1055609;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;16;;;
48.8501778619;2.38409221007;8;166;Metro;FAIDHERBE-CHALIGNY;3206635;3032239;1570746;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.8444701413;2.31785278304;12;293;Metro;FALGUIERE;912582;881763;479988;12;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
